aconto	adresse	boligtype	delevenlig	depositum	etage	forudbetalt_leje	husdyr_tilladt	indflytningspris	lejeperiode	mŒnedlig_leje	m¿bleret	oprettelsesdato	overtagelsesdato	st¿rrelse	v¾relser	longitude	latitude
700	Vesterbro, 9000 Aalborg	Lejlighed	Ja	23400	-	8500	Ja	40400	Ubegr¾nset	7800	Nej	29/10/2018	snarest	93	3	9,9133799	57,0462433
0	LangagergŒrd, 8700 Horsens	R¾kkehus	Nej	29970	-	0	Nej	39960	Ubegr¾nset	9990	Nej	26/06/2018	ikke snarest	124	4	9,8300707	55,8990614
800	Korsgade, 9000 Aalborg 	Lejlighed	Nej	33000	stuen	0	Nej	44800	Ubegr¾nset	11000	Nej	23/10/2018	snarest	113	3	9,9167371	57,0505715
680	Schleppegrellsgade, 9000 Aalborg 	Lejlighed	Nej	17250	2. sal	5750	Nej	29430	Ubegr¾nset	5750	Nej	29/10/2018	snarest	65	2	9,9013538	57,0532867
1000	S¿ndergade, 8000 Aarhus C 	Lejlighed	Ja	43500	3. sal	14500	Nej	73500	Ubegr¾nset	14500	Nej	30/10/2018	snarest	116	3	10,1926254	56,1591575
1250	Rebslagerstien, 9900 Frederikshavn 	Lejlighed	Ja	19200	stuen	0	Ja	26850	Ubegr¾nset	6400	Nej	18/10/2018	ikke snarest	117	4	10,5343973	57,4458767
800	S¿ndre Ringgade, 8000 Aarhus C 	Lejlighed	Ja	34500	2. sal	34500	Nej	81300	Ubegr¾nset	11500	Nej	30/10/2018	ikke snarest	104	3	10,1896742	56,1437934
	Marie Curies All, 9220 Aalborg ¯st	Lejlighed	Ja	27900	-	9300	Nej	46500	Ubegr¾nset	9300	Nej	02/08/2018	snarest	101	4		
250	Gr¿nnegade, 5600 Faaborg 	Lejlighed	Nej	15825	stuen	5525	Nej	26875	Ubegr¾nset	5275	Nej	26/10/2018	snarest	69	2	10,242732	55,095995
1000	S¿ndergade, 8000 Aarhus C 	Lejlighed	Nej	40500	4. sal	13500	Nej	68500	Ubegr¾nset	13500	Nej	30/10/2018	snarest	103	2	10,1926254	56,1591575
1350	Strandvejen, 3070 Snekkersten 	Lejlighed	Nej	78000	2. sal	78000	Nej	183350	Ubegr¾nset	26000	Nej	19/10/2018	snarest	211	5	12,5893482	56,0092093
	Cortex Park, 5230 Odense M 	Lejlighed	Ja	24063	3. sal		Nej	32084	Ubegr¾nset	8021	Nej	24/08/2018	snarest	77	3	10,4307407	55,3740591
675	Nordlandsvej, 8240 Risskov 	Lejlighed	Nej	20100	1. sal	0	Nej	27475	Ubegr¾nset	6700	Nej	30/10/2018	ikke snarest	48	2	10,222265	56,2072133
	Amaliegade, 8600 Silkeborg 	Lejlighed	Nej	17291	1. sal	5764	Nej	28819	Ubegr¾nset	5764	Nej	07/09/2018	snarest	63	1	9,5487917	56,1656905
1000	Agtrupvej, 6000 Kolding 	Lejlighed	Nej	24740	1. sal	6385	Ja	32925	Ubegr¾nset	6385	Nej	22/08/2018	ikke snarest	91	4	9,4715754	55,4839865
1300	S¿ndergade, 8000 Aarhus C 	Lejlighed	Ja	49800	4. sal	16600	Nej	84300	Ubegr¾nset	16600	Nej	30/10/2018	snarest	135	3	10,1926254	56,1591575
1000	S¿ndergade, 9900 Frederikshavn 	Lejlighed	Nej	10500	1. sal	0	Nej	15000	Ubegr¾nset	3500	Nej	05/10/2018	snarest	65	2	10,520467	57,4274382
2000	N¿rrebrogade, 2200 K¿benhavn N 	Lejlighed	Nej	79200	5. sal	79200	Nej	186800	Ubegr¾nset	26400	Nej	23/10/2018	snarest	205	3	12,5433959	55,6979275
500	Bygaden, 4490 Jerslev Sj¾lland	Villa	Nej	23700	-	7900	Ja	40000	Ubegr¾nset	7900	Nej	15/09/2018	snarest	160	7	11,237931	55,610827
1000	S¿ndergade, 9900 Frederikshavn 	Lejlighed	Nej	11700	2. sal	0	Nej	16600	Ubegr¾nset	3900	Nej	07/10/2018	snarest	80	4	10,520467	57,4274382
1350	Vodroffsvej, 1900 Frederiksberg C 	Lejlighed	Nej	82407	2. sal	82407	Nej	193633	Ubegr¾nset	27469	Nej	23/10/2018	snarest	212	6		
500	Engtoftevej, 9000 Aalborg 	Lejlighed	Nej	19500	stuen	0	Nej	26500	Ubegr¾nset	6500	Nej	24/10/2018	snarest	66	2	9,8941742	57,0539084
0	Hartmannsvej, 2900 Hellerup 	V¾relse	Nej	10000	stuen	0	Nej	13800	1-2 Œr	3800	Nej	17/12/2017	snarest	12	1	12,5658848	55,7417723
750	Frederiksborgvej, 2400 K¿benhavn NV 	Lejlighed	Nej	41700	3. sal	13900	Nej	70250	1-2 Œr	13900	Nej	22/09/2018	ikke snarest	102	3	12,5321704	55,7051805
200	Brass¿vej, 8240 Risskov 	Lejlighed	Ja	33585	2. sal	11195	Nej	56175	Ubegr¾nset	11195	Nej	12/06/2018	snarest	82	4	10,2353323	56,203707
1100	Amaliegade, 8000 Aarhus C 	Lejlighed	Nej	46500	4. sal	46500	Nej	109600	Ubegr¾nset	15500	Nej	19/09/2018	snarest	144	3	10,2070981	56,1539914
1000	¯resund Parkvej, 2300 K¿benhavn S 	Lejlighed	Nej	45000	2. sal	0	Nej	61000	2+ Œr	15000	Nej	22/10/2018	snarest	90	2	12,628226	55,6642408
	Lykkesh¿j, 9293 Kongerslev	Lejlighed	Nej	15750	-	10500	Ja	31500	Ubegr¾nset	5250	Nej	20/06/2018	snarest	73	2	10,116314	56,8871772
500	Skuderl¿sevej, 4690 Haslev	R¾kkehus	Ja	19500	-	19500	Nej	46000	Ubegr¾nset	6500	Nej	13/09/2018	ikke snarest	70	3		
1200	D¾mningen, 7100 Vejle 	Lejlighed	Nej	23970	1. sal	7990	Nej	41150	Ubegr¾nset	7990	Nej	02/10/2018	snarest	91	2	9,5356504	55,7071697
1100	S¿ndergade, 8000 Aarhus C 	Lejlighed	Ja	44700	4. sal	14900	Nej	75600	Ubegr¾nset	14900	Nej	30/10/2018	snarest	125	3	10,1926254	56,1591575
600	Ryesgade, 9000 Aalborg 	Lejlighed	Nej	17400	2. sal	6400	Nej	30200	Ubegr¾nset	5800	Nej	19/10/2018	ikke snarest	80	2	9,9044936	57,0549467
2150	C.F. Richs Vej, 2000 Frederiksberg	Villa	Nej	75000	stuen	50000	Nej	152150	2+ Œr	25000	Nej	07/10/2018	snarest	196	4	12,5067309	55,6869089
0	Hendrik Pontoppidans Gade, 8000 Aarhus C 	Lejlighed	Ja	81000	5. sal	81000	Nej	189000	Ubegr¾nset	27000	Nej	18/08/2018	snarest	136	4	10,2055436	56,1438953
700	Robert Jacobsens Vej, 2300 K¿benhavn S 	Lejlighed	Ja	46047	6. sal	15349	Nej	77445	Ubegr¾nset	15349	Nej	30/10/2018	snarest	79	3	12,5745679	55,6230139
	Marie Curies All, 9220 Aalborg ¯st 	Lejlighed	Ja	24300	stuen	8100	Nej	40500	Ubegr¾nset	8100	Nej	02/08/2018	snarest	95	2		
0	Sophienlundvej, 8660 Skanderborg	Villa	Nej	29400	-	9800	Ja	49000	Ubegr¾nset	9800	Nej	14/08/2018	ikke snarest	150	6	10,0318131	55,9909572
250	Brass¿vej, 8240 Risskov 	Lejlighed	Ja	28485	stuen	9495	Nej	47725	Ubegr¾nset	9495	Nej	12/06/2018	snarest	92	3	10,2353323	56,203707
700	Janus La Cours Gade, 8000 Aarhus C 	Lejlighed	Ja	30600	3. sal	10200	Nej	51700	Ubegr¾nset	10200	Nej	30/10/2018	ikke snarest	97	3	10,1976586	56,1574799
600	Christiansgade, 9000 Aalborg 	Lejlighed	Nej	19485	stuen	6495	Nej	33075	Ubegr¾nset	6495	Nej	25/10/2018	snarest	67	2	9,9202815	57,0440713
